sim,method,priv_mode,latent_dim,dr_scale,episode_length_s,mean_reward,std_reward,mean_length,std_length,success_rate,partial_rate,fall_rate,survival_rate,mean_lin_track,std_lin_track,mean_ang_track,std_ang_track,mean_track_err,std_track_err,mean_fwd_disp,std_fwd_disp,gait_adh,gait_adh_std,clear_err,clear_err_std,slip_rate,slip_rate_std,smoothness,smoothness_std,base_z_var,base_z_var_std,contact_sym,contact_sym_std,stride_var,stride_var_std,jtorque_var,jtorque_var_std,episodes,checkpoint,timestamp
isaac,BASELINE,BASE,N/A,1.0,10.0,1251.5550,88.8605,500.0,0.0,100.0,0.0,0.0,100.0,0.9013,0.0565,0.8613,0.1072,0.1395,0.0549,0.8946,0.8780,0.338765,0.019343,0.006435,0.004559,0.240258,0.199523,1.873633,0.510328,0.000911,0.000628,0.874800,0.083178,0.000723,0.001069,6.342830,2.290178,30,model_final.pt,2026-05-11 17:48:27
isaac,CTS,FULL,8,1.0,10.0,1265.9061,61.7283,500.0,0.0,100.0,0.0,0.0,100.0,0.9194,0.0337,0.8726,0.0738,0.1236,0.0368,1.3478,1.3084,0.329370,0.025891,0.005963,0.003370,0.152659,0.089456,1.799055,0.495548,0.000970,0.000661,0.834400,0.111339,0.000624,0.000888,5.749188,2.060807,30,model_final.pt,2026-05-11 17:48:55
isaac,RMA,FULL,8,1.0,10.0,936.9142,144.0363,486.2,47.6,76.7,13.3,10.0,90.0,0.8209,0.1042,0.5331,0.2071,0.2039,0.0861,0.1286,0.2732,0.357802,0.010723,0.005714,0.003127,0.260675,0.204439,0.939802,0.329811,0.001162,0.000639,0.956662,0.046111,0.005184,0.024892,4.371785,1.873452,30,model_final.pt,2026-05-11 17:49:22
isaac,BASELINE,BASE,N/A,2.0,10.0,1119.6090,213.5858,499.5,2.7,96.7,0.0,3.3,96.7,0.8725,0.0728,0.8205,0.1509,0.1615,0.0669,0.4685,0.7258,0.342545,0.021870,0.006352,0.004354,0.388350,0.292376,2.028783,0.797868,0.001002,0.000618,0.891055,0.094047,0.001223,0.002222,6.659941,2.727779,30,model_final.pt,2026-05-11 17:49:47
isaac,CTS,FULL,8,2.0,10.0,1117.2609,263.6700,500.0,0.0,100.0,0.0,0.0,100.0,0.8705,0.0581,0.8190,0.1431,0.1685,0.0508,0.6474,0.6855,0.320952,0.049672,0.005300,0.003862,0.163708,0.084630,2.044747,0.902541,0.001007,0.000844,0.798200,0.213602,0.002638,0.011365,6.359594,3.693463,30,model_final.pt,2026-05-11 17:50:15
isaac,RMA,FULL,8,2.0,10.0,453.5426,490.7067,342.2,197.1,46.7,0.0,53.3,46.7,0.7322,0.1923,0.5083,0.2027,0.2750,0.1487,-0.0195,0.2083,0.306503,0.073698,0.041983,0.060197,0.474345,0.516500,2.333469,2.399632,0.006424,0.008391,0.736064,0.316922,0.000244,0.000676,12.552377,13.265607,30,model_final.pt,2026-05-11 17:50:44
isaac,CTS,INT,8,1.0,10.0,1251.8288,66.6740,500.0,0.0,100.0,0.0,0.0,100.0,0.8901,0.0503,0.8965,0.0376,0.1508,0.0478,1.1745,1.0320,0.337137,0.020048,0.007250,0.004296,0.276797,0.277968,1.557413,0.497001,0.000966,0.000566,0.867800,0.086213,0.001859,0.007047,5.707500,1.814082,30,model_final.pt,2026-05-12 08:43:27
isaac,CTS,INT,8,2.0,10.0,1013.0669,404.1521,469.3,116.7,90.0,3.3,6.7,93.3,0.8033,0.1806,0.7913,0.1787,0.2213,0.1528,0.5519,0.8333,0.324525,0.046033,0.011591,0.019922,0.345616,0.377073,3.154053,5.447180,0.001441,0.001734,0.813566,0.197952,0.000849,0.001223,9.762916,12.711142,30,model_final.pt,2026-05-12 08:43:44
isaac,CTS,EXT,8,1.0,10.0,1136.0009,339.4085,470.8,103.5,90.0,0.0,10.0,90.0,0.8858,0.1178,0.8072,0.1673,0.1522,0.1172,0.7172,0.9662,0.330293,0.042748,0.014947,0.044146,0.309324,0.280110,2.665750,5.767281,0.002134,0.006379,0.838370,0.183829,0.000624,0.001120,8.104860,11.048877,30,model_final.pt,2026-05-12 08:44:01
isaac,CTS,EXT,8,2.0,10.0,993.1431,469.1277,440.1,147.3,80.0,3.3,16.7,83.3,0.8014,0.1779,0.7770,0.1501,0.2277,0.1495,0.4423,0.4586,0.333950,0.040095,0.010944,0.015448,0.337391,0.292317,2.628408,3.557629,0.001904,0.003247,0.851716,0.175780,0.000840,0.001194,10.077374,11.311507,30,model_final.pt,2026-05-12 08:44:18
isaac,RMA,FULL,8,1.0,terrain,dist,10.0,764.2175,360.0554,459.8,108.8,64.0,19.0,17.0,83.0,0.7747,0.1582,0.5128,0.2183,0.2437,0.1381,0.1275,0.4640,0.341179,0.044899,0.010751,0.023459,0.322596,0.366068,1.387122,1.888259,0.002334,0.004692,0.885162,0.193069,0.001537,0.005215,6.591994,6.025923,100,model_final.pt,2026-05-19 14:54:50
isaac,RMA,FULL,8,2.0,terrain,dist,10.0,296.9424,662.3953,314.9,196.6,38.0,7.0,55.0,45.0,0.6810,0.2065,0.4934,0.1756,0.3279,0.1869,0.1668,0.6702,0.294457,0.077131,0.026808,0.044692,0.417510,0.621330,3.898966,4.780537,0.005502,0.007470,0.683724,0.331573,0.002439,0.009174,15.590610,14.586500,100,model_final.pt,2026-05-19 14:55:10
isaac,RMA_TEACHER,FULL,8,1.0,terrain,dist,10.0,1252.0765,64.8211,500.0,0.0,100.0,0.0,0.0,100.0,0.8985,0.0462,0.8948,0.0597,0.1427,0.0467,1.2473,1.2666,0.333468,0.023585,0.006718,0.004014,0.291207,0.307201,1.360216,0.375869,0.000964,0.000569,0.852020,0.101422,0.002397,0.010601,5.832152,1.828669,100,model_final.pt,2026-05-19 15:36:34
isaac,RMA_TEACHER,FULL,8,2.0,terrain,dist,10.0,1000.3188,448.2757,449.9,129.8,82.0,2.0,16.0,84.0,0.8003,0.1665,0.8098,0.1539,0.2315,0.1603,0.5596,0.7686,0.327456,0.044627,0.011742,0.028238,0.318105,0.320216,3.471627,6.450896,0.002206,0.004655,0.826127,0.191881,0.001381,0.002759,9.666280,10.878273,100,model_final.pt,2026-05-19 15:36:58
